hi	hai
trust me	percaya padaku
use this	pakailah ini
we tried	kami sudah mencoba
what for	untuk apa
who s he	dia siapa
who s he	siapa dia
avoid tom	hindari tom
be seated	duduklah
bless you	terberkatilah dirimu
calm down	tenanglah
chill out	tenanglah
come here	kemari
come here	kemarilah
come here	datanglah ke sini
come soon	datanglah segera
cool down	tenanglah
dogs bark	anjing menggonggong
don t cry	janganlah menangis
don t cry	jangan menangis
don t die	jangan mati
excuse me	permisi
fantastic	fantastis
forget it	lupakan
forget it	lupakan saja
get a saw	ambil gergaji
get ready	bersiaplah
go to bed	pergilah tidur
good luck	semoga beruntung
good luck	semoga sukses
goodnight	selamat tidur
he is ill	dia sakit
he is ill	dia sedang sakit
he smiled	dia tersenyum
he s a dj	dia adalah seorang dj
he s busy	dia sedang sibuk
he s lazy	dia pemalas
he s rich	dia kaya
he s sexy	dia seksi
i can ski	saya bisa bermain ski
i crawled	aku merangkak
i fainted	aku pingsan
i fainted	saya pingsan
i gave up	aku menyerah
i gave up	saya menyerah
i give up	aku menyerah
i give up	saya menyerah
i hit tom	aku memukul tom
i laughed	aku tertawa
i laughed	saya tertawa
i mean it	aku serius
i mean it	aku serius
i promise	aku janji
i slipped	aku terpeleset
i m a man	aku laki laki
i m blind	aku buta
i m bored	saya bosan
i m bored	aku bosan
i m clean	aku bersih
i m drunk	aku mabuk
i m first	aku yang pertama
i m happy	saya senang
i m naked	aku telanjang
i m right	aku benar
i m sorry	saya minta maaf
i m tired	aku lelah
is he tom	apakah dia tom
it s	sekarang pukul
it s cold	dingin
it s fake	itu palsu
it s food	ini adalah makanan
it s near	sudah dekat
it s okay	tidak apa apa
let s try	mari kita coba
let s try	mari kita coba
move over	meminggirlah
move over	minggir
of course	tentu saja
of course	tentu saja
open fire	tembak
pipe down	harap tenang
see above	lihat di atas
see below	lihat di bawah ini
seriously	masa
seriously	serius
seriously	beneran
she walks	dia berjalan kaki
she walks	dia berjalan
stay home	tinggallah di rumah
stop here	berhenti di sini
stop that	hentikan itu
stop that	hentikan itu
take both	ambil keduanya
thank you	terima kasih
that s me	itulah saya
that s me	itu aku
then what	terus kenapa
they lied	mereka berbohong
they swam	mereka berenang
time s up	waktu habis
tom cried	tom menangis
tom knits	tom merajut
tom puked	tom muntah
tom reads	tom membaca
tom s fat	tom gemuk
try again	coba lagi
turn left	belok kiri
watch out	awas
well done	kerja yang bagus
well done	kerja bagus
what s up	ada apa
who is he	dia siapa
who is he	siapa dia
who s tom	tom itu siapa
who s she	siapa dia
wonderful	luar biasa
are you ok	kamu tidak apa apa
be careful	hati hati
be careful	hati hati
birds sing	burung burung bernyanyi
bring wine	bawalah anggur
come on in	masuklah
come watch	ayo tonton
cut it out	sudah hentikan
cut it out	sudah hentikan
don t kick	jangan menendang
don t kiss	jangan berciuman
don t move	jangan bergerak
don t move	jangan bergerak
don t spit	jangan meludah
don t talk	jangan berbicara
duty calls	panggilan tugas
eat slowly	makan pelan pelan
follow him	ikuti dia
forget him	lupakan dirinya
forget him	lupakan dia
forgive me	maafkan aku
forgive me	maafkan aku
forgive me	maafkan saya
get a bowl	ambil mangkuk
he is a dj	dia adalah seorang dj
he is busy	dia sedang sibuk
he is here	dia di sini
he is lazy	dia pemalas
he is sick	dia sakit
he is sick	dia sedang sakit
he s smart	dia pintar
hello tom	halo tom
here it is	ini dia
how boring	membosankan sekali
how clever	pintar
i am a man	aku laki laki
i am going	saya pergi
i am happy	saya senang
i am right	aku benar
i can sing	aku bisa menyanyi
i can walk	saya bisa berjalan
i can t go	saya tidak bisa pergi
i can t go	aku tidak boleh pergi
i eat rice	aku makan nasi
i hate tom	aku benci tom
i hate you	aku membencimu
i just ate	aku baru makan
i like art	aku suka seni
i like art	saya suka seni
i like him	aku suka dia
i like you	aku suka kamu
i like you	saya suka kamu
i love you	aku cinta kamu
i love you	aku mencintaimu
i miss him	aku merindukannya
i miss him	aku rindu dia
i miss him	saya merindukannya
i miss you	aku merindukanmu
i miss you	aku rindu kamu
i screamed	saya berteriak
i screamed	aku berteriak
i m a hero	aku pahlawan
i m a star	aku seorang bintang
i m a star	aku sebuah bintang
i m eating	aku lagi makan
i m hiding	aku sedang sembunyi
i m hungry	aku lapar
i m hungry	aku lapar
i m hungry	saya lapar
i m hungry	aku lapar
i m joking	aku bercanda
i m pooped	aku sangat capek
i m scared	aku takut
i m sleepy	aku ngantuk
i m sleepy	aku ngantuk
i m sleepy	aku mengantuk
i m stupid	aku bodoh
i ve eaten	aku sudah makan
is tom ill	apa tom sakit
is it good	emang enak
is it love	apakah ini cinta
is it true	apa itu benar
is that so	apa benar begitu
it ll burn	itu akan terbakar
it s close	sudah dekat
it s night	sekarang malam
it s paper	ini merupakan kertas
it s paper	ini kertas
it s pasta	itu pasta
it s safer	ini lebih aman
it s spicy	rasanya pedas
it s three	sekarang jam tiga
it s weird	itu aneh
it s weird	ini aneh
it s wrong	itu salah
just do it	lakukan saja
let tom in	biarkan tom masuk
let tom in	ijinkan tom masuk
let me pay	biarkan saya yang membayar
let me see	coba saya lihat
let me try	biar saya coba
look at me	lihat saya
look at me	lihat aku
no kidding	beneran
no one ran	tidak ada yang berlari
no problem	tidak masalah
no problem	tidak masalah
nobody ran	tidak ada yang berlari
oh really	oh benarkah
please sit	silakan duduk
she smiled	dia tersenyum
smell this	cium ini
start here	mulai dari sini
step on it	cepatlah
step on it	cepat
that s odd	itu aneh
that s tea	itu teh
they agree	mereka setuju
tom agrees	tom setuju
tom barfed	tom muntah
tom danced	tom menari
tom did it	tom melakukannya
tom failed	tom gagal
tom farted	tom kentut
tom forgot	tom lupa
tom is big	tom besar
tom is fat	tom gemuk
tom is fun	tom menyenangkan
tom nodded	tom mengangguk
tom smiles	tom tersenyum
tom waited	tom menunggu
tom was ok	tom dalam keadaan baik
tom yawned	tom menguap
tom s deaf	tom tuli
tom s fast	tom cepat
tom s home	tom ada di rumah
tom s home	tom di rumah
turn right	belok kanan
was he tom	apakah dia tom
we re free	kita bebas
we re sure	kami yakin
where am i	di mana aku
where am i	aku di mana
who is tom	tom itu siapa
who is she	dia siapa
who is she	siapa dia
who s next	selanjutnya siapa
are you cut	apa kau melakukan khitan
are you new	kamu orang baru
are you sad	apakah kamu sedih
be prepared	bersiaplah
can you see	kamu masih belum mengerti
do it later	lakukan itu nanti
do you bowl	apa kau bermain boling
don t blink	jangan berkedip
don t cheat	jangan curang
don t cheat	jangan menyontek
don t fight	jangan bertengkar
don t fight	jangan berkelahi
don t leave	jangan pergi
don t smoke	jangan merokok
don t worry	jangan khawatir
finish this	selesaikan ini
follow them	ikuti mereka
give me one	beri aku satu
give me one	beri saya sebuah
go to sleep	pergilah tidur
grab a seat	duduklah
have a seat	duduklah
he has wine	dia memiliki anggur
he is alone	dia sendirian
he is crazy	dia gila
he is eight	dia delapan tahun
he s a liar	dia pembohong
he s coming	dia datang
how are you	apa kabar
how are you	bagaimana kabar anda
i also went	saya juga pergi
i apologize	saya minta maaf
i can t fly	saya tidak bisa terbang
i can t fly	aku tidak bisa terbang
i can t see	aku tidak bisa melihat
i can t see	saya tidak bisa melihat
i feel blue	aku merasa sedih
i feel blue	aku sedih
i feel numb	aku merasa mati rasa
i feel well	saya baik baik saja
i felt dumb	aku merasa bodoh
i found you	aku menemukanmu
i got tired	aku lelah
i hate snow	aku benci salju
i have gout	saya ada asam urat
i have time	aku punya waktu
i like blue	aku suka biru
i like cats	aku suka kucing
i like math	aku suka matematika
i like this	aku suka ini
i like wine	aku suka anggur
i live here	saya tinggal di sini
i love mary	aku mencintai mary
i love life	saya cinta hidup
i need cash	aku perlu uang
i need help	saya perlu bantuan
i need help	aku perlu bantuan
i saw a doe	saya melihat seekor rusa betina
i surrender	aku menyerah
i surrender	saya menyerah
i thank you	aku berterima kasih
i trust him	saya mempercayainya
i want mine	aku mau punyaku
i want toys	aku mau mainan
i was a bum	aku dulu gelandangan
i was dizzy	aku pusing
i was right	aku benar
i was tired	aku lelah
i went too	saya juga pergi
i m a slave	saya seorang budak
i m a woman	aku perempuan
i m ashamed	aku malu
i m kidding	aku bercanda
i m not sad	saya tidak sedih
i m not shy	saya tidak malu
i m reading	aku sedang membaca
i m reading	saya sedang membaca
i m serious	aku serius
i m starved	aku kelaparan
i m thirsty	aku haus
i m too fat	aku terlalu gemuk
i ve agreed	kami sudah setuju
i ve failed	aku sudah gagal
i ve failed	aku telah gagal
is tom sick	apa tom sakit
is tom well	apa tom sehat
it can t be	tidak mungkin
it may rain	mungkin akan turun hujan
it s yen	harganya yen
it s a fake	itu palsu
it s a joke	bercanda
it s a moth	itu ngengat
it s a ring	itu cincin
it s enough	sudah cukup
it s nearby	itu dekat
it s purple	warnanya ungu
it s secret	itu rahasia
let s begin	mari kita mulai
let s do it	mari kita melakukannya
let s do it	mari kita lakukan
let s do it	mari kita lakukan
let s do it	mari kita melakukannya
let s party	mari berpesta
let s start	mari kita mulai
let s start	mari kita mulai
look at tom	lihatlah ke arah tom
make a fist	kepalkan tangan anda
many thanks	terima kasih banyak
many thanks	makasih banyak
nobody came	tidak ada yang datang
ok you win	oke kamu menang
ok you win	baiklah kamu menang
ok i agree	oke aku setuju
please stop	tolong berhenti
please stop	tolong berhenti
say goodbye	ucapkan selamat tinggal
she blushed	ia tersipu malu
she fainted	dia pingsan
she s crazy	dia gila
stand still	diam di situ
stay seated	tetaplah duduk
take a seat	duduklah
that s life	begitulah hidup
that s milk	itu susu
that s tofu	itu tahu
that s true	itu benar
they agreed	mereka setuju
they hugged	mereka saling berpelukan
they hugged	mereka berpelukan
they kissed	mereka berciuman
this is tom	ini tom
this is big	ini besar
this is ice	ini es
this is odd	ini aneh
tom blinked	tom berkedip
tom fainted	tom pingsan
tom gave up	tom menyerah
tom is bald	tom botak
tom is cool	tom itu keren
tom is deaf	tom tuli
tom is evil	tom jahat
tom is fast	tom cepat
tom is meek	tom lemah lembut
tom is nuts	tom gila
tom is rich	tom kaya
tom is rude	tom adalah seorang yang kasar
tom is sexy	tom seksi
tom listens	tom mendengarkan
tom mumbled	tom bergumam
tom mumbles	tom bergumam
tom slipped	tom terpeleset
tom teaches	tom mengajar
tom tripped	tom tersandung
tom vomited	tom muntah
tom s crazy	tom gila
tom s dying	tom sekarat
tom s flaky	tom itu suka berpangku tangan
tom s right	tom benar
tom s wrong	tom salah
turn on cnn	nyalakan cnn
we can meet	kita bisa bertemu
we help tom	kami membantu tom
we know him	kami mengenalnya
we ll fight	kita akan bertarung
what a bore	membosankan sekali
what a pity	sayang sekali
what is art	apa itu seni
what s that	itu apa
what s this	ini apa
where is he	di mana dia
who are you	kamu siapa
who drew it	siapa yang menggambar itu
who said it	siapa yang mengatakan itu
who s older	siapa yang lebih tua
whose is it	itu punya siapa
you re free	anda bebas
you re safe	kalian selamat
you re thin	kamu kurus
are we ready	apakah kita siap
are you lame	apa kau pincang
are you okay	kamu tidak apa apa
are you sure	apakah kamu yakin
are you sure	apakah anda yakin
are you sure	apa kau yakin
blood is red	darah itu merah
blood is red	darah berwarna merah
cut that out	hentikan itu
do you agree	apakah kamu setuju
do you agree	apakah anda setuju
do you agree	apakah kalian setuju
don t ask me	jangan tanya aku
don t go yet	jangan pergi dulu
don t kid me	jangan mempermainkanku
everyone ate	semua orang makan
find the cat	temukan kucing itu
good morning	selamat pagi
happy easter	selamat hari paskah
has tom gone	sudahkah tom pergi
he loves her	dia mencintainya
he was naive	dia naif
how dare you	berani beraninya
how horrible	mengerikan sekali
i am ashamed	aku malu
i am curious	aku ingin tahu
i am curious	aku penasaran
i can t hear	saya tidak bisa mendengar
i can t move	aku tidak bisa bergerak
i can t read	aku tidak bisa membaca
i can t read	saya tidak bisa membaca
i can t surf	aku tidak bisa berselancar
i can t talk	saya tidak bisa berbicara
i can t talk	aku tidak bisa berbicara
i don t care	saya tidak peduli
i don t care	aku tidak peduli
i don t care	gue gak peduli
i don t know	saya tidak tahu
i don t know	aku tidak tahu
i feel tired	aku merasa capek
i have a cat	aku punya kucing
i have a dog	saya punya anjing
i hugged tom	aku memeluk tom
i hugged her	aku memeluk dia
i hugged her	aku memeluknya
i keep a dog	saya memelihara seekor anjing
i lived here	saya tinggal di sini
i must study	aku harus belajar
i need a pan	aku perlu wajan
i need money	aku perlu uang
i saw a deer	saya melihat seekor rusa
i saw a deer	aku melihat seekor rusa
i see a deer	saya melihat seekor rusa
i see a deer	aku melihat seekor rusa
i sell fruit	saya menjual buah buahan
i smelled it	aku menciumnya
i teach here	saya mengajar di sini
i understand	aku mengerti
i understand	saya mengerti
i want to go	saya ingin pergi
i was let in	aku dibiarkan masuk
i won t lose	aku tidak akan kalah
i m sure	aku yakin
i m a doctor	saya dokter
i m a person	aku orang
i m confused	aku bingung
i m confused	saya bingung
i m famished	aku sangat lapar
i m innocent	aku tidak bersalah
i m not dumb	aku tidak dungu
i m not here	aku tidak berada di sini
i m not sure	aku tidak yakin
i m pregnant	saya sedang hamil
i m pregnant	saya hamil
i m so happy	aku seneng banget
i m so sorry	saya sangat menyesal
i m starving	aku kelaparan
i m studying	saya lagi belajar
i m the best	saya yang terbaik
i m the last	aku yang terakhir
i m the last	akulah yang terakhir
i m too busy	saya terlalu sibuk
i m too fast	aku terlalu cepat
i m too thin	aku terlalu kurus
i m worn out	aku kelelahan
is that true	apa itu benar
is this love	apakah ini cinta
is this true	apa ini benar
is this true	apakah ini benar
it was tom s	itu dulu milik tom
it was a lie	itu bohong
it was clear	tadi itu jelas
it s my duty	ini kewajiban saya
it s my ship	ini kapalku
it s my ship	itu kapalku
it s no joke	ini bukan lelucon
it s obvious	itu jelas
it s raining	sedang turun hujan
it s so easy	gampang banget
it s so slow	itu sangat lambat
it s strange	itu aneh
it s strange	ini aneh
it s too big	itu terlalu besar
jump over it	lompati itu
keep driving	teruslah mengemudi
keep reading	teruslah membaca
knock it off	sudah hentikan
let me alone	biarkan aku sendiri
let s try it	mari kita mencobanya
listen to me	dengarkan saya
listen to me	dengarkan aku
look at this	lihat ini
my feet hurt	kakiku sakit
no one cared	tidak ada yang peduli
no one cares	tidak ada satupun yang peduli
no one cares	tidak ada yang peduli
nobody cares	tidak ada yang peduli
open the box	bukalah kotak itu
open the box	buka kotak itu
open the box	buka kotaknya
please hurry	cepatlah
set tom free	bebaskan tom
she has wine	dia memiliki anggur
she is eight	dia delapan tahun
she is wrong	dia salah
show me that	perlihatkan itu padaku
stay at home	tinggallah di rumah
stop the car	hentikan mobilnya
sweet dreams	mimpi indah
thanks a lot	terima kasih banyak
thanks a lot	makasih banyak
that s great	itu bagus
that s honey	itu madu
that s right	tepat sekali
that s right	itu benar
that s weird	itu aneh
they know us	mereka mengenal kita
this is easy	ini gampang
this is food	ini makanan
this is food	ini adalah makanan
this is life	ini adalah kehidupan
today is hot	hari ini panas
tom fixed it	tom memperbaiki itu
tom fixed it	tom membetulkannya
tom has some	tom punya beberapa
tom hates me	tom membenciku
tom insisted	tom memaksa
tom is crazy	tom gila
tom is cruel	tom itu kejam
tom is dying	tom sekarat
tom is naked	tom telanjang
tom is right	tom benar
tom is short	tom pendek
tom is smart	tom pintar
tom is tense	tom tidak tenang
tom is wrong	tom salah
tom liked it	tom menyukainya
tom likes it	tom menyukainya
tom needs it	tom membutuhkannya
tom panicked	tom panik
tom saw mary	tom melihat mary
tom saw them	tom melihat mereka
tom stutters	tom berbicara dengan gagap
tom threw up	tom muntah
tom was bald	tom botak
tom was fine	tom dalam keadaan baik
tom was good	tom dalam keadaan baik
tom whistled	tom bersiul
tom s asleep	tom sedang tidur
tom s crying	tom menangis
tom s hungry	tom lapar
tom s insane	tom gila
tom s polite	tom itu ramah
tom s scared	tom takut
tom s strict	tom itu keras
tom s stupid	tom bodoh
try and swim	cobalah berenang
unbelievable	luar biasa
wait and see	lihat saja nanti
we apologize	kami mohon maaf
we must wait	kita harus menunggu
we need rain	kami butuh hujan
we ll fix it	kami akan memperbaikinya
we re hungry	kami lapar
we re trying	kami sedang mencoba
what is rain	apa itu hujan
what is this	ini apa
what is this	apa ini
what s a ufo	apa itu ufo
you go first	kamu duluan
you hurt him	kamu menyakiti dia
you hurt him	kamu menyakitinya
you re drunk	kamu mabuk
you re fools	kamu bodoh
you re tired	kamu lelah
you re wrong	kamu salah
you re young	kamu muda
add some salt	tambahkan sedikit garam
any questions	ada pertanyaan
anything else	ada lagi
anything else	ada yang lain
are you happy	apa kamu senang
are you happy	apa anda bahagia
are you ready	kamu siap
are you ready	kalian siap
are you tired	kamu capek
check please	tolong bonnya
come back now	kembalilah sekarang
cook the rice	masaklah nasinya
do cats dream	apakah kucing bermimpi
do you get it	apa kamu paham
do you see it	apa kamu melihatnya
don t give up	jangan menyerah
don t go away	jangan pergi
don t mock me	jangan mengejekku
eat something	makanlah sesuatu
feed the bird	beri makan burungnya
feed the bird	beri makan burungnya
get over here	kemari
get well soon	semoga lekas sembuh
get your gear	ambil perlengkapanmu
give it to me	berikan padaku
god bless you	tuhan memberkatimu
he ignored me	dia tidak menghiraukanku
he is running	dia sedang berlari
he kissed her	dia menciumnya
he seems sick	dia tampak sakit
he seems sick	dia nampaknya sedang sakit
he seems sick	dia terlihat sakit
he sells cars	dia menjual mobil
he shot at me	dia menembak ke arahku
he s friendly	dia ramah
he s too busy	dia terlalu sibuk
he s your son	dia anak laki lakimu
he s your son	dia anakmu
help the poor	bantulah orang orang miskin
hi everybody	hai semuanya
his nose bled	dia mimisan
hold the rope	pegang tali itu
how do you do	apa kabar
how do you do	bagaimana kabar anda
i am a muslim	saya seorang muslim
i ate a donut	aku makan donat
i believe you	aku percaya kamu
i can do that	aku bisa melakukannya
i can see tom	aku bisa melihat tom
i can t do it	aku tidak bisa melakukannya
i can t drive	saya tidak bisa mengemudi
i can t drive	aku tidak bisa menyetir
i can t sleep	aku tidak bisa tidur
i can t smoke	aku tidak boleh merokok
i can t stand	aku tidak bisa berdiri
i don t smoke	aku tidak merokok
i don t smoke	saya tidak merokok
i feel hungry	aku merasa lapar
i got nothing	aku tidak mendapat apa apa
i hate boston	aku benci boston
i have a home	aku punya tempat tinggal
i have a twin	aku punya saudara kembar
i have bleach	saya punya pemutih
i have failed	aku sudah gagal
i have failed	aku telah gagal
i have sinned	aku telah berdosa
i have to eat	aku harus makan
i kid you not	aku tidak bercanda
i like apples	aku suka apel
i like coffee	aku suka kopi
i like grapes	aku suka buah anggur
i like grapes	aku suka anggur
i like yellow	aku suka warna kuning
i live nearby	saya tinggal dekat sini
i looked away	aku memalingkan wajahku
i miss my cat	aku rindu kucingku
i must refuse	aku harus menolak
i must see it	saya harus melihatnya
i need a lamp	aku butuh sebuah lampu
i need to eat	aku harus makan
i play tennis	aku bermain tenis
i play violin	aku bermain biola
i saw nothing	aku tidak melihat apa apa
i see nothing	aku tidak melihat apa apa
i surrendered	aku menyerah
i surrendered	saya menyerah
i tricked you	aku menipumu
i use twitter	saya menggunakan twitter
i want to die	aku ingin mati
i was a rebel	dulu saya seorang pemberontak
i went inside	saya masuk ke dalam
i ll go there	aku akan pergi ke sana
i ll kill you	aku akan membunuhmu
i m a teacher	saya seorang guru
i m beautiful	aku cantik
i m busy too	aku juga sibuk
i m exhausted	aku kelelahan
i m expecting	saya sedang hamil
i m expecting	saya hamil
i m not blind	saya tidak buta
i m not ready	saya belum siap
i m on a diet	aku sedang melakukan diet
i m satisfied	aku puas
i m so hungry	aku sangat lapar
i m too drunk	aku terlalu mabuk
i m too young	aku terlalu muda
i ve tried it	aku sudah mencobanya
is it raining	hujankah
is it raining	apa sedang hujan
is that a cat	apakah itu seekor kucing
is that right	apa itu benar
is that wrong	apa itu salah
isn t that so	bukankah begitu
it is raining	sedang turun hujan
it was a hoax	itu cerita bohong
it s a secret	itu rahasia
it s for sale	ini dijual
it s for sale	ini untuk dijual
it s unstable	itu tidak stabil
it s upstairs	ada di lantai atas
just trust me	sudah percaya saja padaku
kick the ball	tendang bolanya
let go of tom	lepaskan tom
let go of tom	lepaskan tom
let me see it	biarkan aku melihatnya
let me try it	biarkan aku mencobanya
let s do that	mari kita melakukannya
let s go back	ayo kembali
look in there	lihat ke dalam situ
love is blind	cinta itu buta
love is crazy	cinta itu gila
milk is white	susu berwarna putih
my head hurts	kepalaku sakit
no one called	tidak ada yang menelepon
no one phoned	tidak ada yang menelepon
no one saw us	tidak ada yang melihat kita
no thank you	tidak terima kasih
nobody called	tidak ada yang menelepon
oh i m sorry	oh maaf
open the door	buka pintunya
our team lost	tim kami kalah
quiet please	harap tenang
remain seated	tetaplah duduk
she is crying	dia sedang menangis
she just left	dia baru saja berangkat
she loves him	dia mencintainya
she wants him	dia menginginkannya
she was naive	dia naif
she went home	dia pulang
she went home	ia pulang
show it to me	perlihatkan itu padaku
show it to me	perlihatkan padaku
shut the door	tutup pintunya
start running	mulailah berlari
stop dreaming	berhentilah bermimpi
stop fighting	berhenti berkelahi
take him away	bawa dia pergi
that was fast	tadi itu cepat
that was good	itu tadi enak
that was good	itu enak
that s a fake	itu palsu
that s a joke	bercanda
that s absurd	itu konyol
that s enough	itu cukup
that s my bed	itu tempat tidurku
they can help	mereka bisa membantu
they embraced	mereka berpelukan
they vanished	mereka menghilang
they will die	mereka akan mati
they re asian	mereka orang asia
this is a pen	ini pulpen
this is a pen	ini pena
this is silly	ini bodoh
this is water	ini air
this is weird	ini aneh
this was good	ini enak
time is money	waktu adalah uang
tom blamed me	tom menyalahkanku
tom blames us	tom menyalahkan kami
tom buys fish	tom membeli ikan
tom conned us	tom menipu kita
tom has faith	tom berkeyakinan
tom hugged me	tom memelukku
tom is afraid	tom ketakutan
tom is asleep	tom sedang tidur
tom is cranky	tom bete
tom is crying	tom menangis
tom is hungry	tom lapar
tom is immune	tom kebal
tom is insane	tom gila
tom is polite	tom itu ramah
tom is stupid	tom bodoh
tom likes her	tom menyukainya
tom likes him	tom menyukainya
tom looks bad	tom terlihat buruk
tom needed it	tom membutuhkannya
tom shot mary	tom menembak mary
tom sued mary	tom menggugat mary
tom sued mary	tom menuntut mary
tom told mary	tom memberi tahu mary
tom was crazy	tom gila
tom was fired	tom dipecat
tom was happy	tom merasa bahagia
tom was lucky	tom beruntung
tom s cooking	tom sedang memasak
tom s missing	tom hilang
tom s smoking	tom sedang merokok
tom s thirsty	tom haus
tom s thirsty	tom kehausan
tom s too fat	tom terlalu gemuk
wait a moment	tunggu sebentar
we helped tom	kami membantu tom
we need rules	kita membutuhkan aturan aturan
we sell fruit	kami menjual buah buahan
we were right	kita benar
we will fight	kita akan bertarung
we re dancing	kami sedang menari
we re fasting	kami sedang berpuasa
we re leaving	kami berangkat
we re trapped	kita terjebak
what did i do	apa yang sudah kulakukan
what happened	apa yang terjadi
where are you	kamu di mana
which is mine	yang mana punyaku
who said that	siapa yang mengatakan itu
whose is this	ini punya siapa
you all right	kamu tidak apa apa
you are wrong	kamu salah
you re sleepy	kamu ngantuk
you re stupid	kamu bodoh
you re stupid	kau bodoh
allow me to go	biarkan aku pergi
are we sinking	kita tenggelam
are you asleep	kamu sudah tidur
are you hungry	apa kau lapar
are you hungry	apa kalian lapar
are you hungry	apa kamu lapar
are you joking	apa kau bercanda
are you sleepy	apa kamu ngantuk
bring a friend	ajak teman
can i help you	bisa saya bantu
can you see it	kamu masih belum mengerti
can you see it	kamu masih belum memahaminya
catch the ball	tangkap bolanya
change is good	perubahan itu bagus
close the door	tutup pintunya
come back home	kembali ke rumah
come back home	pulanglah ke rumah
come back home	kembalilah ke rumah
come back soon	segeralah kembali
do you hate me	apa kamu benci aku
do you hear it	apakah kamu mendengarnya
do you like it	kalian suka
do you love me	apakah kamu mencintaiku
don t say that	jangan katakan itu
don t tease me	jangan menggodaku
don t touch me	jangan sentuh aku
don t touch me	jangan sentuh aku
don t you know	apa kamu tidak tahu
fold the towel	lipat handuknya
get out of bed	turun dari kasur
get out of bed	bangun dari tempat tidur
get out of bed	bangunlah dari tempat tidur
give it to tom	berikan itu kepada tom
give it to her	berikan itu padanya
give it to her	berikan padanya
give it to him	berikan itu padanya
give it to him	berikan padanya
good afternoon	selamat siang
grab your gear	ambil perlengkapanmu
happy new year	selamat tahun baru
happy new year	selamat tahun baru
happy birthday	selamat ulang tahun
he bit his lip	dia menggigit bibirnya
he came by bus	dia datang dengan bus
he is a doctor	dia adalah seorang dokter
he is an actor	dia adalah seorang aktor
he keeps a cat	dia memelihara kucing
he looks young	dia terlihat muda
he was perfect	dia sempurna
he s a student	dia seorang siswa
his name s tom	namanya tom
honey is sweet	madu itu manis
how late is it	sudah terlambat berapa lamakah
how late is it	sudah telat berapa lamakah
how late is it	sudah telat berapa lama
how much is it	berapa harganya
how s it going	apa kabar
i am a student	saya adalah seorang siswa
i am a teacher	saya seorang guru
i borrow money	saya meminjam uang
i can sense it	aku bisa merasakannya
i did it again	aku melakukannya lagi
i dislike eggs	aku tidak suka telur
